BGC0001106.0_reference vs CP107782.region017
--------------------------------------------
Query       Target                   Identity  Similarity
PRJNA747871_OHT02_27280  PRJNA747871_OG301_26305  1.00      1.00      
PRJNA747871_OHT02_27285  PRJNA747871_OG301_26310  1.00      1.00      
PRJNA747871_OHT02_27285  OG301_26405              0.30      0.31      
PRJNA747871_OHT02_27290  PRJNA747871_OG301_26315  0.99      0.99      
PRJNA747871_OHT02_27290  PRJNA747871_OG301_26410  0.99      0.99      
PRJNA747871_OHT02_27295  PRJNA747871_OG301_26320  1.00      1.00      
PRJNA747871_OHT02_27300  PRJNA747871_OG301_26325  1.00      1.00      
PRJNA747871_OHT02_27305  PRJNA747871_OG301_26330  1.00      1.00      
PRJNA747871_OHT02_27310  PRJNA747871_OG301_26335  0.99      0.99      
PRJNA747871_OHT02_27315  PRJNA747871_OG301_26340  1.00      1.00      
PRJNA747871_OHT02_27320  PRJNA747871_OG301_26345  1.00      1.00      
PRJNA747871_OHT02_27320  PRJNA747871_OG301_26445  0.32      0.53      
OHT02_27325              OG301_26350              1.00      1.00      
PRJNA747871_OHT02_27330  PRJNA747871_OG301_26355  1.00      1.00      
PRJNA747871_OHT02_27335  PRJNA747871_OG301_26360  0.99      0.99      
PRJNA747871_OHT02_27340  PRJNA747871_OG301_26365  1.00      1.00      
PRJNA747871_OHT02_27345  OG301_26370              0.89      0.89      
PRJNA747871_OHT02_27350  PRJNA747871_OG301_26375  1.00      1.00      
PRJNA747871_OHT02_27355  PRJNA747871_OG301_26380  1.00      1.00      
PRJNA747871_OHT02_27360  PRJNA747871_OG301_26385  1.00      1.00      
PRJNA747871_OHT02_27365  PRJNA747871_OG301_26390  1.00      1.00      
PRJNA747871_OHT02_27370  PRJNA747871_OG301_26395  1.00      1.00      
PRJNA747871_OHT02_27375  PRJNA747871_OG301_26400  0.98      1.00      
OHT02_27380              PRJNA747871_OG301_26310  0.30      0.31      
OHT02_27380              OG301_26405              1.00      1.00      
PRJNA747871_OHT02_27385  PRJNA747871_OG301_26315  0.97      0.97      
PRJNA747871_OHT02_27385  PRJNA747871_OG301_26410  0.96      0.97      
PRJNA747871_OHT02_27390  PRJNA747871_OG301_26415  1.00      1.00      
PRJNA747871_OHT02_27395  PRJNA747871_OG301_26420  0.99      0.99      
PRJNA747871_OHT02_27400  PRJNA747871_OG301_26425  1.00      1.00      
PRJNA747871_OHT02_27405  PRJNA747871_OG301_26430  0.99      0.99      
PRJNA747871_OHT02_27410  PRJNA747871_OG301_26435  1.00      1.00      
PRJNA747871_OHT02_27415  PRJNA747871_OG301_26440  1.00      1.00      
PRJNA747871_OHT02_27420  PRJNA747871_OG301_26345  0.32      0.53      
PRJNA747871_OHT02_27420  PRJNA747871_OG301_26445  1.00      1.00      
PRJNA747871_OHT02_27425  PRJNA747871_OG301_26450  1.00      1.00      
PRJNA747871_OHT02_27430  PRJNA747871_OG301_26455  1.00      1.00      
PRJNA747871_OHT02_27435  PRJNA747871_OG301_26460  1.00      1.00      
PRJNA747871_OHT02_27440  PRJNA747871_OG301_26465  1.00      1.00      
PRJNA747871_OHT02_27445  PRJNA747871_OG301_26470  1.00      1.00      
PRJNA747871_OHT02_27450  PRJNA747871_OG301_26475  1.00      1.00      
PRJNA747871_OHT02_27455  PRJNA747871_OG301_26480  0.87      0.87      
PRJNA747871_OHT02_27460  PRJNA747871_OG301_26485  1.00      1.00      

CP108368.region015 vs CP108974.region019
----------------------------------------
Query                    Target                   Identity  Similarity
PRJNA747871_OG229_11940  PRJNA747871_OG301_26485  1.00      1.00      
PRJNA747871_OG229_11945  PRJNA747871_OG301_26480  0.87      0.87      
PRJNA747871_OG229_11950  PRJNA747871_OG301_26475  1.00      1.00      
PRJNA747871_OG229_11955  PRJNA747871_OG301_26470  1.00      1.00      
PRJNA747871_OG229_11960  PRJNA747871_OG301_26465  1.00      1.00      
PRJNA747871_OG229_11965  PRJNA747871_OG301_26460  1.00      1.00      
PRJNA747871_OG229_11970  PRJNA747871_OG301_26455  1.00      1.00      
PRJNA747871_OG229_11975  PRJNA747871_OG301_26450  1.00      1.00      
PRJNA747871_OG229_11980  PRJNA747871_OG301_26345  0.32      0.53      
PRJNA747871_OG229_11980  PRJNA747871_OG301_26445  1.00      1.00      
PRJNA747871_OG229_11985  PRJNA747871_OG301_26440  1.00      1.00      
PRJNA747871_OG229_11990  PRJNA747871_OG301_26435  0.99      1.00      
PRJNA747871_OG229_11995  PRJNA747871_OG301_26430  1.00      1.00      
PRJNA747871_OG229_12000  PRJNA747871_OG301_26425  1.00      1.00      
PRJNA747871_OG229_12005  PRJNA747871_OG301_26420  1.00      1.00      
PRJNA747871_OG229_12010  PRJNA747871_OG301_26415  1.00      1.00      
PRJNA747871_OG229_12015  PRJNA747871_OG301_26315  0.97      0.97      
PRJNA747871_OG229_12015  PRJNA747871_OG301_26410  0.97      0.98      
OG229_12020              PRJNA747871_OG301_26310  0.30      0.31      
OG229_12020              OG301_26405              1.00      1.00      
PRJNA747871_OG229_12025  PRJNA747871_OG301_26400  0.98      1.00      
PRJNA747871_OG229_12030  PRJNA747871_OG301_26395  1.00      1.00      
PRJNA747871_OG229_12035  PRJNA747871_OG301_26390  1.00      1.00      
PRJNA747871_OG229_12040  PRJNA747871_OG301_26385  1.00      1.00      
PRJNA747871_OG229_12045  PRJNA747871_OG301_26380  1.00      1.00      
PRJNA747871_OG229_12050  PRJNA747871_OG301_26375  0.99      1.00      
PRJNA747871_OG229_12055  OG301_26370              0.89      0.89      
PRJNA747871_OG229_12060  PRJNA747871_OG301_26365  1.00      1.00      
PRJNA747871_OG229_12065  PRJNA747871_OG301_26360  1.00      1.00      
PRJNA747871_OG229_12070  PRJNA747871_OG301_26355  1.00      1.00      
OG229_12075              OG301_26350              1.00      1.00      
PRJNA747871_OG229_12080  PRJNA747871_OG301_26345  1.00      1.00      
PRJNA747871_OG229_12080  PRJNA747871_OG301_26445  0.32      0.53      
PRJNA747871_OG229_12085  PRJNA747871_OG301_26340  1.00      1.00      
